Отбор...;
111;60,1585895475616;
112;60,1586732580123;
113;60,1585850280466;
114;60,1571748247501;
115;60,1587937127965;
116;60,158479139597;
117;60,1585532035296;
118;60,1585974670679;
119;60,1589483208718;
120;60,158888306658;
121;60,1585564305213;
122;60,1585400244102;
123;60,1586955377791;
124;60,1586168936796;
125;60,1593225814282;
126;60,1585530171848;
127;60,158898102355;
128;60,1588435393427;
129;60,1587100115699;
130;60,1587722323268;
131;60,1586576690858;
132;60,1585339278449;
133;60,1564899372955;
134;60,1585914983584;
135;60,1588159083566;
136;60,1586236614094;
137;60,1576343322973;
138;60,1586433717013;
139;60,1587219874036;
140;60,1586015652955;
141;60,1586234279154;
142;60,1586223487504;
143;60,1590172467053;
144;60,1589574086423;
145;60,1571229561357;
146;60,1585153222953;
147;60,1585396532333;
148;60,158555410455;
149;60,1585009551063;
150;60,1588125111449;
Population 2;
Отбор лучших...;
Скрещивание...;
101;60,1597205091103;
102;60,1591200284326;
103;60,1582858426897;
104;60,1586923221696;
105;60,1597305680328;
106;60,1585423779698;
107;60,1587163270298;
108;60,1586549354607;
109;60,1586366378904;
110;60,1599313302555;
111;60,1589396630651;
112;60,1585394148515;
113;60,1587714678231;
114;60,1585350588237;
115;60,1585511009971;
116;60,1585719260185;
117;60,1603585992585;
118;60,158629968513;
119;60,1584178517687;
120;60,1586394929764;
121;60,1587441165719;
122;60,1589002230235;
123;60,1567252944158;
124;60,1586675406405;
125;60,1586006097433;
126;60,1590606554;
127;60,1585819504663;
128;60,158726004441;
129;60,1590397571083;
130;60,1590208453286;
131;60,1587543283139;
132;60,1588518795939;
133;60,1588134897817;
134;60,1585903954973;
135;60,1585304277892;
136;60,1586062376456;
137;60,1586246403547;
138;60,1588353146145;
139;60,1586516586102;
140;60,1585342141443;
141;60,1585017332688;
142;60,1585926036527;
143;60,158669977438;
144;60,1586128096389;
145;60,1586251910948;
146;60,1597578908224;
147;60,1587360981789;
148;60,1588977485086;
149;60,158596731335;
150;60,1585479252259;
Population 3;
Отбор лучших...;
Скрещивание...;
101;60,1595113922887;
102;60,1587178732936;
103;60,1587232520679;
104;60,1594136479941;
105;60,1591566495993;
106;60,1603585799578;
107;60,1586471540425;
108;60,1586108467488;
109;60,1583805191129;
110;60,1594107769951;
111;60,1574160484112;
112;60,159166298234;
113;60,1588985355522;
114;60,158839016071;
115;60,1589686708574;
116;60,1590745315089;
117;60,1586399966992;
118;60,1586961454998;
119;60,1587664036444;
120;60,1586311658556;
121;60,1585582801142;
122;60,1587655367857;
123;60,1587130903658;
124;60,1590007197865;
125;60,1590198237308;
126;60,1588248754851;
127;60,1585762577007;
128;60,158587308491;
129;60,1587043620874;
130;60,1595381386413;
131;60,1537219693882;
132;60,1586884893956;
133;60,1586768986138;
134;60,1589149828202;
135;60,1580897176227;
136;60,1589056586663;
137;60,1598538485837;
138;60,1585398322149;
139;60,1583752959243;
140;60,158764655403;
141;60,1589189316104;
142;60,1595815463499;
143;60,1566129522276;
144;60,1587766658526;
145;60,1589110815875;
146;60,1587110597792;
147;60,1585552825007;
148;60,158697012856;
149;60,1587361401355;
150;60,1589246698679;
Population 4;
Отбор лучших...;
Скрещивание...;
101;60,1587701966536;
102;60,1586322755659;
103;60,1589143899677;
104;60,1586101680994;
105;60,158951042047;
106;60,1592792131096;
107;60,1585089276665;
108;60,1588819468451;
109;60,1592660506476;
110;60,1587183974683;
111;60,1597695302238;
112;60,1591013308419;
113;60,1586202073671;
114;60,1585673342115;
115;60,1586090087997;
116;60,1592653068428;
117;60,1577305680641;
118;60,1589445601196;
119;60,1590853011137;
120;60,1588751531229;
121;60,1589509434402;
122;60,1587009178518;
123;60,1585535128231;
124;60,1594187587073;
125;60,1595007284719;
126;60,1591380484318;
127;60,1598527135702;
