Отбор...;
186;52,78203065
187;50,12589704
188;51,68952268
189;51,67694458
190;52,99518538
191;53,30711507
192;51,95221113
193;51,98081784
194;50,78171057
195;52,5218139
196;52,5941103
197;52,03809066
198;51,69916857
199;51,993372
200;53,39202474
Population 6;
Отбор лучших...;
Скрещивание...;
101;52,17033964
102;51,41073601
103;51,18564153
104;51,86975269
105;53,04559555
106;52,87289351
107;51,45605903
108;52,42987156
109;51,00437695
110;52,65308945
111;50,82218673
112;49,76989531
113;53,47187295
114;53,64834696
115;51,58321956
116;52,16618332
117;51,71422592
118;50,75218177
119;50,82788941
120;51,79966716
121;53,5416356
122;52,41792645
123;52,46025223
124;48,358161
125;50,99991702
126;51,9661321
127;50,46552865
128;51,98690424
129;51,74509334
130;52,14270504
131;51,60962688
132;49,33466209
133;49,83713729
134;52,38103464
135;51,29151778
136;51,14261173
137;53,08544117
138;51,72861335
139;50,17412873
140;51,36371139
141;50,3384721
142;53,40666315
143;52,75266903
144;52,74861686
145;52,37369014
146;50,99510229
147;48,94852621
148;49,2442721
149;51,21784389
150;50,93019729
151;53,73818053
152;51,99829563
153;52,66005253
154;53,51900774
155;53,67086012
156;51,59883102
157;52,8977955
158;53,31280599
159;52,48221857
160;52,72303296
161;52,73064808
162;53,3410246
163;52,42206121
164;51,5790866
165;50,58004913
166;51,14984448
167;51,81060622
168;50,67002605
169;51,17195395
170;53,69559455
171;50,0008599
172;53,61944802
173;51,86051376
174;53,86275697
175;50,63919877
176;51,17499252
177;51,97842497
178;53,90836195
179;50,85348259
180;52,71403547
181;53,08341349
182;52,06604985
183;53,02205097
184;50,56467807
185;51,57319084
186;49,57559281
187;52,31640398
188;52,99849919
189;52,15442489
190;53,2095464
191;52,52046011
192;49,47525531
193;52,12910934
194;50,24425668
195;51,34454553
196;52,01474244
197;52,00867424
198;51,82982814
199;53,569661
200;50,76231036
Population 7;
Отбор лучших...;
Скрещивание...;
101;53,15618832
102;51,16174578
103;51,56757159
104;50,32921503
105;53,05031745
106;52,74176255
107;51,42529879
108;51,71667432
109;49,42740964
110;50,27569084
111;51,11901905
112;52,74491725
113;53,04445582
114;52,10589559
115;51,68190574
116;50,7373573
117;51,08291595
118;53,96975794
