Отбор...;
154;55,5921623670978;
155;54,2148329081764;
156;50,000000007548;
157;56,4361853526424;
158;52,8952884113788;
159;50,9334169298903;
160;50,5609423843229;
161;60,1107332184235;
162;53,1895730156434;
163;50,1705867858597;
164;60,2600931417874;
165;50,0000000021795;
166;55,4652087245385;
167;51,6454345304939;
168;50,0000000205329;
169;58,1852971423362;
170;50,594709572704;
171;58,7919318324992;
172;56,6329507812429;
173;52,3500783723787;
174;55,6238133813507;
175;50,0000030301679;
176;53,6813850801707;
177;53,4613476332212;
178;55,0970135867381;
179;51,4186992087321;
180;50,0000051875481;
181;51,3055190046665;
182;56,8055875380496;
183;51,7530113758385;
184;58,2959921560962;
185;53,6603118133939;
186;53,8430128016314;
187;50,0990656336275;
188;53,497899587176;
189;53,1048860684185;
190;54,4960039434737;
191;55,4299141412427;
192;55,3244487284987;
193;50,789498203258;
194;52,5419537307298;
195;59,9983793952887;
196;59,6137866963043;
197;55,8079229354277;
198;55,735950664333;
199;59,7150725280012;
200;58,742816157255;
Population 3;
Отбор лучших...;
Скрещивание...;
101;59,0811534131798;
102;59,0104820900412;
103;51,1942359685559;
104;60,2234101306215;
105;52,2301749792428;
106;50,0482307503659;
107;55,0775657169298;
108;51,4713787374711;
109;52,1983827740463;
110;59,3318500012882;
111;51,5439395883969;
112;52,640944134574;
113;52,7530731411137;
114;57,6532197010326;
115;58,8128914342905;
116;50,5243080185591;
117;53,8900753843711;
118;50,8496726904566;
119;57,9171823185358;
120;54,0778697469414;
121;60,3536080525343;
122;58,9602097706096;
123;57,5924847982747;
124;59,6986203173537;
125;52,7610905213136;
126;59,7919972007081;
127;60,3397903643963;
128;60,2939680075309;
129;50,2015748662554;
130;53,5515946229134;
131;60,1125126820665;
132;59,6195588932909;
133;53,4472053374768;
134;50,3416935513388;
135;53,2830078918361;
136;57,5908529904843;
Отбор...;
1;33,4893288139574;
2;58,8095774954147;
3;6,90137988500159;
4;54,6863072840117;
5;6,20928982069164;
6;55,5914569127706;
7;8,11809637747274;
8;57,1501812066658;
9;53,4852770599397;
10;37,9638626753878;
11;55,3481398934564;
12;55,9005937802157;
13;57,7604281069303;
14;49,2447232715949;
15;8,16547285645683;
16;57,6167277392763;
17;59,5080619388131;
18;29,050445201623;
19;59,0176963214661;
20;7,11991197284194;
21;55,3325398566277;
22;10,0916439094371;
23;56,8588335338288;
24;24,0662065057808;
25;3,88257729781903;
26;51,9181239020268;
27;12,5295296669423;
28;55,6089246024991;
29;57,7626719791388;
30;9,0854620490493;
31;58,1065698674092;
32;59,3149856363561;
33;7,71160433025316;
34;54,6516846890267;
35;10,2940821180785;
36;5,20013243443234;
37;33,7541802669915;
38;38,0973338696264;
39;9,84822389175426;
40;57,8468414287947;
41;58,5999637034458;
42;15,4081253703421;
43;55,6616949214865;
44;54,5904802203839;
45;7,34138433092325;
46;58,5442213013884;
47;9,51897366777471;
48;3,27740192691409;
49;60,0295396340947;
50;9,96972866697739;
51;59,794578288194;
52;55,7327667968172;
53;56,3178817450058;
54;55,433692096997;
55;32,6517595287385;
56;58,7526995668599;
57;58,9484593855579;
58;55,40393862355;
59;8,1805743646725;
60;59,0947985877973;
61;5,35634923119142;
62;4,65932468889345;
63;54,8398146602104;
64;58,0298710048634;
65;55,0965949327505;
66;56,0800221178181;
67;14,3687961683461;
68;57,5605832878865;
69;46,3067000369931;
70;57,1586376191667;
71;53,646172880541;
72;53,963938430178;
73;2,55851799253034;
74;4,22324500601913;
75;54,6126528689038;
76;19,1170474516484;
77;51,6907753154539;
78;30,7633827293523;
79;57,4368699992609;
80;10,1139897982252;
81;53,3769152796156;
82;9,0493111009342;
83;6,12561534405792;
84;53,8880642120772;
85;57,6841639148857;
86;3,95395980367185;
87;31,751773572778;
88;56,6744098074851;
89;57,7396581584807;
90;9,71191121986588;
91;56,7574510161561;
92;8,5837842941573;
93;27,3574012567131;
94;3,97052756095116;
95;58,830558462433;
96;42,364073187802;
97;56,2449804191164;
98;59,7252165286335;
99;32,51757050204;
100;6,93024322057674;
== 100;
Скрещивание...;
101;33,8955954517556;
102;15,7878642196865;
103;8,47659934712146;
104;58,6211030836477;
105;53,2933456273163;
106;58,6786407571187;
107;9,57212541657281;
108;5,7738247949529;
109;56,9991630306143;
110;7,27347725968556;
111;56,6680019822087;
112;58,1550745318702;
113;30,2595524732342;
114;52,8579868973228;
115;55,1930388190806;
116;58,105625048244;
117;42,3184350465092;
118;54,0443250497389;
119;59,8622832068238;
120;35,069178916127;
121;55,099701172892;
122;57,1720640064218;
123;8,84153343519937;
124;54,6378657464829;
125;3,38157447839318;
126;9,13503769347037;
127;57,805247794872;
128;7,63546328642765;
129;55,6328777104052;
130;35,7798828110468;
131;54,2778814358772;
132;33,5043292469118;
133;9,03683808064752;
134;58,4994814089089;
135;31,8839717916083;
136;59,9076403284176;
137;6,17171152290359;
138;8,09051426299496;
139;6,13906844107678;
140;57,1274364922855;
141;27,087838800474;
142;53,6320934824152;
143;9,28710596934037;
144;32,3956585731817;
145;58,7076867084012;
146;4,35498698725921;
147;59,3877473389561;
148;44,5967642260442;
149;58,3177223933454;
150;53,7933760283608;
151;55,6398651615478;
152;34,6432823100858;
153;35,1003560963223;
154;59,5727763790025;
155;32,2883572900722;
156;47,8243317500576;
157;38,3064045749197;
158;39,8272700759706;
159;6,76798643782037;
160;4,69177055614786;
161;59,3547353598387;
162;9,53864469840059;
163;54,4823218471081;
164;54,0576667961396;
165;30,8572643898073;
166;53,1074097655501;
167;59,2427550129234;
168;56,1126727846597;
169;55,3609510363863;
170;6,70420155637788;
171;55,1463091641884;
172;59,9170357963601;
173;59,8683675644757;
174;52,0389911379121;
175;54,2607326823876;
176;57,2950467248704;
177;20,5364912517575;
178;25,0466188048797;
179;9,77915841860612;
180;30,5732048977152;
181;57,7111959723603;
182;57,8312511300569;
183;8,17069766901889;
184;57,5459130905694;
185;55,9690425615789;
186;12,3003971291777;
187;49,7267984829367;
188;55,295412660188;
189;57,0575303530303;
190;57,1489082089625;
191;11,2178002797504;
192;34,8114209068203;
193;55,360848442608;
194;58,6904249147066;
195;55,742241871421;
196;58,0517276615236;
197;15,5787080305584;
198;8,09602327050265;
199;46,2622094254438;
200;3,43275927395501;
